2025-03-07 10:15:21,4956211987,AI Software Engineer,NeuralNet Corp,True,False
2025-03-07 10:20:35,4956211987,AI Software Engineer,NeuralNet Corp,True,True
2025-03-07 11:12:45,4960837654,Full Stack Developer,CodeFlow Solutions,True,True
2025-03-07 11:18:52,4932275432,Data Engineer,TechVerse,True,True
2025-03-07 11:20:11,4974278765,Senior Backend Engineer,ByteBridge Technologies,True,True
2025-03-07 11:21:32,4927219854,Machine Learning Engineer,DeepData Labs,True,True
2025-03-07 11:22:08,4954456821,Embedded Systems Engineer,CircuitTech Solutions,True,True
2025-03-07 11:24:15,4783797894,Cybersecurity Analyst,Safeguard Cyber,True,True
2025-03-07 11:30:55,4796909321,Software Developer,Innovate Software Inc,True,True
2025-03-07 11:33:40,4966224856,Cloud Security Engineer,SkyFort Security,True,True
2025-03-07 11:40:15,4980081234,DevOps Engineer,CloudOps Hub,True,True
2025-03-07 11:50:29,4918306789,Penetration Tester,RedShield Labs,True,True
2025-03-07 11:53:10,4912007895,Senior Frontend Developer,UI Creators,True,True
2025-03-07 11:54:38,4764161234,IoT Engineer,SmartTech Innovations,True,True
2025-03-07 11:56:29,4964418795,System Administrator,InfraCloud Solutions,True,True
2025-03-07 12:02:15,4960844356,AI Research Scientist,DataMind AI,True,True
2025-03-07 12:08:30,4987429831,Full Stack Web Developer,WebGenius,True,True
2025-03-07 12:12:55,4960359234,Shopify Developer,EcomMasters,True,True
2025-03-07 12:18:49,4985141987,ETL Engineer,DataSync Analytics,True,True
2025-03-07 12:25:38,4975096543,Cloud Infrastructure Engineer,IT Secure Technologies,True,True
2025-03-07 12:27:55,4985091789,Data Scientist,AI Nexus,True,False
2025-03-07 12:30:45,4927218765,Platform Engineer,CodeMinds Tech,True,True
2025-03-07 12:33:12,4940477654,Software Engineer,FutureSoft Inc,True,False
2025-03-07 12:35:49,4964395432,Application Developer,SystemX Technologies,True,False
2025-03-07 12:37:24,4981714387,Cloud Solutions Architect,CloudNext,True,False
2025-03-07 12:40:58,4940478765,Software Engineer,FutureSoft Inc,True,True
2025-03-07 12:45:30,4985091789,Data Scientist,AI Nexus,True,False
2025-03-07 12:48:20,4985091789,Data Scientist,AI Nexus,True,True
